0,1,2,3
168,A213,1,Gastrointestinal tularemia                                   Gastrointestinal tularemia
169,A217,1,Generalized tularemia                                        Generalized tularemia
170,A218,1,Other forms of tularemia                                     Other forms of tularemia
171,A219,1,"Tularemia, unspecified                                       Tularemia, unspecified"
172,A22,0,Anthrax                                                      Anthrax
173,A220,1,Cutaneous anthrax                                            Cutaneous anthrax
174,A221,1,Pulmonary anthrax                                            Pulmonary anthrax
175,A222,1,Gastrointestinal anthrax                                     Gastrointestinal anthrax
176,A227,1,Anthrax sepsis                                               Anthrax sepsis
177,A228,1,Other forms of anthrax                                       Other forms of anthrax
178,A229,1,"Anthrax, unspecified                                         Anthrax, unspecified"
179,A23,0,Brucellosis                                                  Brucellosis
180,A230,1,Brucellosis due to Brucella melitensis                       Brucellosis due to Brucella melitensis
181,A231,1,Brucellosis due to Brucella abortus                          Brucellosis due to Brucella abortus
182,A232,1,Brucellosis due to Brucella suis                             Brucellosis due to Brucella suis
183,A233,1,Brucellosis due to Brucella canis                            Brucellosis due to Brucella canis
184,A238,1,Other brucellosis                                            Other brucellosis
185,A239,1,"Brucellosis, unspecified                                     Brucellosis, unspecified"
186,A24,0,Glanders and melioidosis                                     Glanders and melioidosis
187,A240,1,Glanders                                                     Glanders
188,A241,1,Acute and fulminating melioidosis                            Acute and fulminating melioidosis
189,A242,1,Subacute and chronic melioidosis                             Subacute and chronic melioidosis
190,A243,1,Other melioidosis                                            Other melioidosis
191,A249,1,"Melioidosis, unspecified                                     Melioidosis, unspecified"
192,A25,0,Rat-bite fevers                                              Rat-bite fevers
193,A250,1,Spirillosis                                                  Spirillosis
194,A251,1,Streptobacillosis                                            Streptobacillosis
195,A259,1,"Rat-bite fever, unspecified                                  Rat-bite fever, unspecified"
196,A26,0,Erysipeloid                                                  Erysipeloid
197,A260,1,Cutaneous erysipeloid                                        Cutaneous erysipeloid
198,A267,1,Erysipelothrix sepsis                                        Erysipelothrix sepsis
199,A268,1,Other forms of erysipeloid                                   Other forms of erysipeloid
200,A269,1,"Erysipeloid, unspecified                                     Erysipeloid, unspecified"
201,A27,0,Leptospirosis                                                Leptospirosis
202,A270,1,Leptospirosis icterohemorrhagica                             Leptospirosis icterohemorrhagica
203,A278,0,Other forms of leptospirosis                                 Other forms of leptospirosis
204,A2781,1,Aseptic meningitis in leptospirosis                          Aseptic meningitis in leptospirosis
205,A2789,1,Other forms of leptospirosis                                 Other forms of leptospirosis
206,A279,1,"Leptospirosis, unspecified                                   Leptospirosis, unspecified"
207,A28,0,"Other zoonotic bacterial diseases, not elsewhere classified  Other zoonotic bacterial diseases, not elsewhere classified"
208,A280,1,Pasteurellosis                                               Pasteurellosis
209,A281,1,Cat-scratch disease                                          Cat-scratch disease
210,A282,1,Extraintestinal yersiniosis                                  Extraintestinal yersiniosis
211,A288,1,"Oth zoonotic bacterial diseases, not elsewhere classified    Other specified zoonotic bacterial diseases, not elsewhere classified"
212,A289,1,"Zoonotic bacterial disease, unspecified                      Zoonotic bacterial disease, unspecified"
213,A30,0,Leprosy [Hansen's disease]                                   Leprosy [Hansen's disease]
214,A300,1,Indeterminate leprosy                                        Indeterminate leprosy
215,A301,1,Tuberculoid leprosy                                          Tuberculoid leprosy
216,A302,1,Borderline tuberculoid leprosy                               Borderline tuberculoid leprosy
217,A303,1,Borderline leprosy                                           Borderline leprosy
218,A304,1,Borderline lepromatous leprosy                               Borderline lepromatous leprosy
219,A305,1,Lepromatous leprosy                                          Lepromatous leprosy
220,A308,1,Other forms of leprosy                                       Other forms of leprosy
221,A309,1,"Leprosy, unspecified                                         Leprosy, unspecified"
222,A31,0,Infection due to other mycobacteria                          Infection due to other mycobacteria
223,A310,1,Pulmonary mycobacterial infection                            Pulmonary mycobacterial infection
224,A311,1,Cutaneous mycobacterial infection                            Cutaneous mycobacterial infection
225,A312,1,Dissem mycobacterium avium-intracellulare complex (DMAC)     Disseminated mycobacterium avium-intracellulare complex (DMAC)
226,A318,1,Other mycobacterial infections                               Other mycobacterial infections
227,A319,1,"Mycobacterial infection, unspecified                         Mycobacterial infection, unspecified"
228,A32,0,Listeriosis                                                  Listeriosis
229,A320,1,Cutaneous listeriosis                                        Cutaneous listeriosis
230,A321,0,Listerial meningitis and meningoencephalitis                 Listerial meningitis and meningoencephalitis
231,A3211,1,Listerial meningitis                                         Listerial meningitis
232,A3212,1,Listerial meningoencephalitis                                Listerial meningoencephalitis
233,A327,1,Listerial sepsis                                             Listerial sepsis
234,A328,0,Other forms of listeriosis                                   Other forms of listeriosis
235,A3281,1,Oculoglandular listeriosis                                   Oculoglandular listeriosis
236,A3282,1,Listerial endocarditis                                       Listerial endocarditis
237,A3289,1,Other forms of listeriosis                                   Other forms of listeriosis
238,A329,1,"Listeriosis, unspecified                                     Listeriosis, unspecified"
239,A33,1,Tetanus neonatorum                                           Tetanus neonatorum
240,A34,1,Obstetrical tetanus                                          Obstetrical tetanus
241,A35,1,Other tetanus                                                Other tetanus
242,A36,0,Diphtheria                                                   Diphtheria
243,A360,1,Pharyngeal diphtheria                                        Pharyngeal diphtheria
244,A361,1,Nasopharyngeal diphtheria                                    Nasopharyngeal diphtheria
245,A362,1,Laryngeal diphtheria                                         Laryngeal diphtheria
246,A363,1,Cutaneous diphtheria                                         Cutaneous diphtheria
247,A368,0,Other diphtheria                                             Other diphtheria
248,A3681,1,Diphtheritic cardiomyopathy                                  Diphtheritic cardiomyopathy
249,A3682,1,Diphtheritic radiculomyelitis                                Diphtheritic radiculomyelitis
250,A3683,1,Diphtheritic polyneuritis                                    Diphtheritic polyneuritis
251,A3684,1,Diphtheritic tubulo-interstitial nephropathy                 Diphtheritic tubulo-interstitial nephropathy
252,A3685,1,Diphtheritic cystitis                                        Diphtheritic cystitis
253,A3686,1,Diphtheritic conjunctivitis                                  Diphtheritic conjunctivitis
254,A3689,1,Other diphtheritic complications                             Other diphtheritic complications
255,A369,1,"Diphtheria, unspecified                                      Diphtheria, unspecified"
256,A37,0,Whooping cough                                               Whooping cough
257,A370,0,Whooping cough due to Bordetella pertussis                   Whooping cough due to Bordetella pertussis
258,A3700,1,Whooping cough due to Bordetella pertussis without pneumonia Whooping cough due to Bordetella pertussis without pneumonia
259,A3701,1,Whooping cough due to Bordetella pertussis with pneumonia    Whooping cough due to Bordetella pertussis with pneumonia
260,A371,0,Whooping cough due to Bordetella parapertussis               Whooping cough due to Bordetella parapertussis
261,A3710,1,Whooping cough due to Bordetella parapertussis w/o pneumonia Whooping cough due to Bordetella parapertussis without pneumonia
262,A3711,1,Whooping cough due to Bordetella parapertussis w pneumonia   Whooping cough due to Bordetella parapertussis with pneumonia
263,A378,0,Whooping cough due to other Bordetella species               Whooping cough due to other Bordetella species
264,A3780,1,Whooping cough due to other Bordetella species w/o pneumonia Whooping cough due to other Bordetella species without pneumonia
265,A3781,1,Whooping cough due to oth Bordetella species with pneumonia  Whooping cough due to other Bordetella species with pneumonia
266,A379,0,"Whooping cough, unspecified species                          Whooping cough, unspecified species"
267,A3790,1,"Whooping cough, unspecified species without pneumonia        Whooping cough, unspecified species without pneumonia"
268,A3791,1,"Whooping cough, unspecified species with pneumonia           Whooping cough, unspecified species with pneumonia"
269,A38,0,Scarlet fever                                                Scarlet fever
270,A380,1,Scarlet fever with otitis media                              Scarlet fever with otitis media
271,A381,1,Scarlet fever with myocarditis                               Scarlet fever with myocarditis
272,A388,1,Scarlet fever with other complications                       Scarlet fever with other complications
273,A389,1,"Scarlet fever, uncomplicated                                 Scarlet fever, uncomplicated"
274,A39,0,Meningococcal infection                                      Meningococcal infection
275,A390,1,Meningococcal meningitis                                     Meningococcal meningitis
276,A391,1,Waterhouse-Friderichsen syndrome                             Waterhouse-Friderichsen syndrome
277,A392,1,Acute meningococcemia                                        Acute meningococcemia
278,A393,1,Chronic meningococcemia                                      Chronic meningococcemia
279,A394,1,"Meningococcemia, unspecified                                 Meningococcemia, unspecified"
280,A395,0,Meningococcal heart disease                                  Meningococcal heart disease
281,A3950,1,"Meningococcal carditis, unspecified                          Meningococcal carditis, unspecified"
282,A3951,1,Meningococcal endocarditis                                   Meningococcal endocarditis
283,A3952,1,Meningococcal myocarditis                                    Meningococcal myocarditis
284,A3953,1,Meningococcal pericarditis                                   Meningococcal pericarditis
285,A398,0,Other meningococcal infections                               Other meningococcal infections
286,A3981,1,Meningococcal encephalitis                                   Meningococcal encephalitis
287,A3982,1,Meningococcal retrobulbar neuritis                           Meningococcal retrobulbar neuritis
288,A3983,1,Meningococcal arthritis                                      Meningococcal arthritis
289,A3984,1,Postmeningococcal arthritis                                  Postmeningococcal arthritis
290,A3989,1,Other meningococcal infections                               Other meningococcal infections
291,A399,1,"Meningococcal infection, unspecified                         Meningococcal infection, unspecified"
292,A40,0,Streptococcal sepsis                                         Streptococcal sepsis
293,A400,1,"Sepsis due to streptococcus, group A                         Sepsis due to streptococcus, group A"
294,A401,1,"Sepsis due to streptococcus, group B                         Sepsis due to streptococcus, group B"
295,A403,1,Sepsis due to Streptococcus pneumoniae                       Sepsis due to Streptococcus pneumoniae
296,A408,1,Other streptococcal sepsis                                   Other streptococcal sepsis
297,A409,1,"Streptococcal sepsis, unspecified                            Streptococcal sepsis, unspecified"
298,A41,0,Other sepsis                                                 Other sepsis
299,A410,0,Sepsis due to Staphylococcus aureus                          Sepsis due to Staphylococcus aureus
300,A4101,1,Sepsis due to Methicillin susceptible Staphylococcus aureus  Sepsis due to Methicillin susceptible Staphylococcus aureus
301,A4102,1,Sepsis due to Methicillin resistant Staphylococcus aureus    Sepsis due to Methicillin resistant Staphylococcus aureus
302,A411,1,Sepsis due to other specified staphylococcus                 Sepsis due to other specified staphylococcus
303,A412,1,Sepsis due to unspecified staphylococcus                     Sepsis due to unspecified staphylococcus
304,A413,1,Sepsis due to Hemophilus influenzae                          Sepsis due to Hemophilus influenzae
305,A414,1,Sepsis due to anaerobes                                      Sepsis due to anaerobes
306,A415,0,Sepsis due to other Gram-negative organisms                  Sepsis due to other Gram-negative organisms
307,A4150,1,"Gram-negative sepsis, unspecified                            Gram-negative sepsis, unspecified"
308,A4151,1,Sepsis due to Escherichia coli [E. coli]                     Sepsis due to Escherichia coli [E. coli]
309,A4152,1,Sepsis due to Pseudomonas                                    Sepsis due to Pseudomonas
310,A4153,1,Sepsis due to Serratia                                       Sepsis due to Serratia
311,A4154,1,Sepsis due to Acinetobacter baumannii                        Sepsis due to Acinetobacter baumannii
312,A4159,1,Other Gram-negative sepsis                                   Other Gram-negative sepsis
313,A418,0,Other specified sepsis                                       Other specified sepsis
314,A4181,1,Sepsis due to Enterococcus                                   Sepsis due to Enterococcus
315,A4189,1,Other specified sepsis                                       Other specified sepsis
316,A419,1,"Sepsis, unspecified organism                                 Sepsis, unspecified organism"
317,A42,0,Actinomycosis                                                Actinomycosis
318,A420,1,Pulmonary actinomycosis                                      Pulmonary actinomycosis
319,A421,1,Abdominal actinomycosis                                      Abdominal actinomycosis
320,A422,1,Cervicofacial actinomycosis                                  Cervicofacial actinomycosis
321,A427,1,Actinomycotic sepsis                                         Actinomycotic sepsis
322,A428,0,Other forms of actinomycosis                                 Other forms of actinomycosis
323,A4281,1,Actinomycotic meningitis                                     Actinomycotic meningitis
324,A4282,1,Actinomycotic encephalitis                                   Actinomycotic encephalitis
325,A4289,1,Other forms of actinomycosis                                 Other forms of actinomycosis
326,A429,1,"Actinomycosis, unspecified                                   Actinomycosis, unspecified"
327,A43,0,Nocardiosis                                                  Nocardiosis
328,A430,1,Pulmonary nocardiosis                                        Pulmonary nocardiosis
329,A431,1,Cutaneous nocardiosis                                        Cutaneous nocardiosis
330,A438,1,Other forms of nocardiosis                                   Other forms of nocardiosis
331,A439,1,"Nocardiosis, unspecified                                     Nocardiosis, unspecified"
332,A44,0,Bartonellosis                                                Bartonellosis
333,A440,1,Systemic bartonellosis                                       Systemic bartonellosis
334,A441,1,Cutaneous and mucocutaneous bartonellosis                    Cutaneous and mucocutaneous bartonellosis
335,A448,1,Other forms of bartonellosis                                 Other forms of bartonellosis
336,A449,1,"Bartonellosis, unspecified                                   Bartonellosis, unspecified"
337,A46,1,Erysipelas                                                   Erysipelas
338,A48,0,"Other bacterial diseases, not elsewhere classified           Other bacterial diseases, not elsewhere classified"
339,A480,1,Gas gangrene                                                 Gas gangrene
340,A481,1,Legionnaires' disease                                        Legionnaires' disease
341,A482,1,Nonpneumonic Legionnaires' disease [Pontiac fever]           Nonpneumonic Legionnaires' disease [Pontiac fever]
342,A483,1,Toxic shock syndrome                                         Toxic shock syndrome
343,A484,1,Brazilian purpuric fever                                     Brazilian purpuric fever
344,A485,0,Other specified botulism                                     Other specified botulism
345,A4851,1,Infant botulism                                              Infant botulism
346,A4852,1,Wound botulism                                               Wound botulism
347,A488,1,Other specified bacterial diseases                           Other specified bacterial diseases
348,A49,0,Bacterial infection of unspecified site                      Bacterial infection of unspecified site
349,A490,0,"Staphylococcal infection, unspecified site                   Staphylococcal infection, unspecified site"
350,A4901,1,"Methicillin suscep staph infection, unsp site                Methicillin susceptible Staphylococcus aureus infection, unspecified site"
351,A4902,1,"Methicillin resis staph infection, unsp site                 Methicillin resistant Staphylococcus aureus infection, unspecified site"
352,A491,1,"Streptococcal infection, unspecified site                    Streptococcal infection, unspecified site"
353,A492,1,"Hemophilus influenzae infection, unspecified site            Hemophilus influenzae infection, unspecified site"
354,A493,1,"Mycoplasma infection, unspecified site                       Mycoplasma infection, unspecified site"
355,A498,1,Other bacterial infections of unspecified site               Other bacterial infections of unspecified site
356,A499,1,"Bacterial infection, unspecified                             Bacterial infection, unspecified"
357,A50,0,Congenital syphilis                                          Congenital syphilis
358,A500,0,"Early congenital syphilis, symptomatic                       Early congenital syphilis, symptomatic"
359,A5001,1,Early congenital syphilitic oculopathy                       Early congenital syphilitic oculopathy
360,A5002,1,Early congenital syphilitic osteochondropathy                Early congenital syphilitic osteochondropathy
361,A5003,1,Early congenital syphilitic pharyngitis                      Early congenital syphilitic pharyngitis
362,A5004,1,Early congenital syphilitic pneumonia                        Early congenital syphilitic pneumonia
363,A5005,1,Early congenital syphilitic rhinitis                         Early congenital syphilitic rhinitis
364,A5006,1,Early cutaneous congenital syphilis                          Early cutaneous congenital syphilis
365,A5007,1,Early mucocutaneous congenital syphilis                      Early mucocutaneous congenital syphilis
366,A5008,1,Early visceral congenital syphilis                           Early visceral congenital syphilis
367,A5009,1,"Other early congenital syphilis, symptomatic                 Other early congenital syphilis, symptomatic"
368,A501,1,"Early congenital syphilis, latent                            Early congenital syphilis, latent"
369,A502,1,"Early congenital syphilis, unspecified                       Early congenital syphilis, unspecified"
370,A503,0,Late congenital syphilitic oculopathy                        Late congenital syphilitic oculopathy
371,A5030,1,"Late congenital syphilitic oculopathy, unspecified           Late congenital syphilitic oculopathy, unspecified"
372,A5031,1,Late congenital syphilitic interstitial keratitis            Late congenital syphilitic interstitial keratitis
373,A5032,1,Late congenital syphilitic chorioretinitis                   Late congenital syphilitic chorioretinitis
374,A5039,1,Other late congenital syphilitic oculopathy                  Other late congenital syphilitic oculopathy
375,A504,0,Late congenital neurosyphilis [juvenile neurosyphilis]       Late congenital neurosyphilis [juvenile neurosyphilis]
376,A5040,1,"Late congenital neurosyphilis, unspecified                   Late congenital neurosyphilis, unspecified"
377,A5041,1,Late congenital syphilitic meningitis                        Late congenital syphilitic meningitis
378,A5042,1,Late congenital syphilitic encephalitis                      Late congenital syphilitic encephalitis
379,A5043,1,Late congenital syphilitic polyneuropathy                    Late congenital syphilitic polyneuropathy
