0,1,2
BU001007,The beneficiary has been informed of the purchase and rental options and after,Bene undecided on purch/rent
CA001007,Procedure payable only in the inpatient setting when performed emergently on an,Procedure payable inpatient
CB001007,Service ordered by a renal dialysis facility (rdf) physician as part of the,Esrd bene part a snf-sep pay
CC001007,Procedure code change (use 'cc' when the procedure code submitted was changed,Procedure code change
CD001007,Amcc test has been ordered by an esrd facility or mcp physician that is part of,Amcc test for esrd or mcp md
CE001007,Amcc test has been ordered by an esrd facility or mcp physician that is a,Med neces amcc tst sep reimb
CF001007,Amcc test has been ordered by an esrd facility or mcp physician that is not,Amcc tst not composite rate
CG001007,Policy criteria applied,Policy criteria applied
CH001007,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res"
CI001007,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired
CJ001007,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired
CK001007,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired
CL001007,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired
CM001007,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired
CN001007,"100 percent impaired, limited or restricted","100 percent impaired, ltd"
CO001007,Outpatient occupational therapy services furnished in whole or in part by an,Outpatient ot service by ota
CP001007,Adjunctive service related to a procedure assigned to a comprehensive,C-apc adjunctive service
CQ001007,Outpatient physical therapy services furnished in whole or in part by a,Outpatient pt service by pta
CR001007,Catastrophe/disaster related,Catastrophe/disaster related
CS001007,Cost-sharing waived for specified covid-19 testing-related services that result,Cost share waiver covid-19
CT001007,Computed tomography services furnished using equipment that does not meet each,Ct does not meet nema standa
DA001007,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent"
E1001007,"Upper left, eyelid",Upper left eyelid
E2001007,"Lower left, eyelid",Lower left eyelid
E3001007,"Upper right, eyelid",Upper right eyelid
E4001007,"Lower right, eyelid",Lower right eyelid
EA001007,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, chemo-induced"
EB001007,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, radio-induced"
EC001007,Erythropoietic stimulating agent (esa) administered to treat anemia not due to,"Esa, anemia, non-chemo/radio"
ED001007,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl),Hct>39% or hgb>13g>=3 cycle
EE001007,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded,Hct>39% or hgb>13g<3 cycle
EJ001007,"Subsequent claims for a defined course of therapy, e.g., epo, sodium",Subsequent claim
EM001007,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd)
EP001007,Service provided as part of medicaid early periodic screening diagnosis and,Medicaid epsdt program svc
ER001007,"Items and services furnished by a provider-based, off-campus emergency",Off-campus ed service
ET001007,Emergency services,Emergency services
EX001007,Expatriate beneficiary,Expatriate beneficiary
EY001007,No physician or other licensed health care provider order for this item or,No md order for item/service
F1001007,"Left hand, second digit","Left hand, second digit"
F2001007,"Left hand, third digit","Left hand, third digit"
F3001007,"Left hand, fourth digit","Left hand, fourth digit"
F4001007,"Left hand, fifth digit","Left hand, fifth digit"
F5001007,"Right hand, thumb","Right hand, thumb"
F6001007,"Right hand, second digit","Right hand, second digit"
F7001007,"Right hand, third digit","Right hand, third digit"
F8001007,"Right hand, fourth digit","Right hand, fourth digit"
F9001007,"Right hand, fifth digit","Right hand, fifth digit"
FA001007,"Left hand, thumb","Left hand, thumb"
FB001007,"Item provided without cost to provider, supplier or practitioner, or full",Item provided without cost
FC001007,Partial credit received for replaced device,"Part credit, replaced device"
FP001007,Service provided as part of family planning program,Svc part of family plan pgm
FQ001007,The service was furnished using audio-only communication technology,Audio-only service
FR001007,"The supervising practitioner was present through two-way, audio/video",Two-way a/v dir supervision
FS001007,Split (or shared) evaluation and management visit,Split or shared e/m visit
FT001007,Unrelated evaluation and management (e/m) visit on the same day as another e/m,"Separate, unrelated e/m"
FX001007,X-ray taken using film,X-ray taken using film
FY001007,X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray
G0001007,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an",Telestroke
G1001007,Most recent urr reading of less than 60,Urr reading of less than 60
G2001007,Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9
G3001007,Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9
G4001007,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9
G5001007,Most recent urr reading of 75 or greater,Urr reading of 75 or greater
G6001007,Esrd patient for whom less than six dialysis sessions have been provided in a,Esrd patient <6 dialysis/mth
G7001007,Pregnancy resulted from rape or incest or pregnancy certified by physician as,Payment limits do not apply
G8001007,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly",Monitored anesthesia care
G9001007,Monitored anesthesia care for patient who has history of severe,Mac for at risk patient
GA001007,"Waiver of liability statement issued as required by payer policy, individual",Liability waiver ind case
GB001007,Claim being re-submitted for payment because it is no longer covered under a,Claim resubmitted
GC001007,This service has been performed in part by a resident under the direction of a,Resident/teaching phys serv
GD001007,Units of service exceeds medically unlikely edit value and represents,Unit of service > mue value
GE001007,This service has been performed by a resident without the presence of a,Resident prim care exception
GF001007,"Non-physician (e.g. nurse practitioner (np), certified registered nurse",Nonphysician serv c a hosp
GG001007,Performance and payment of a screening mammogram and diagnostic mammogram on,Payment screen mam + diagmam
GH001007,Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo
GJ001007,"""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc
GK001007,Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered
GL001007,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge,","Upgraded item, no charge"
GM001007,Multiple patients on one ambulance trip,Multiple transports
GN001007,Services delivered under an outpatient speech language pathology plan of care,Op speech language service
GO001007,Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv
GP001007,Services delivered under an outpatient physical therapy plan of care,Op pt services
GQ001007,Via asynchronous telecommunications system,Telehealth store and forward
GR001007,This service was performed in whole or in part by a resident in a department of,Service by va resident
GS001007,Dosage of erythropoietin stimulating agent has been reduced and maintained in,Epo/darbepoietin reduced 25%
GT001007,Via interactive audio and video telecommunication systems,Interactivetelecommunication
GU001007,"Waiver of liability statement issued as required by payer policy, routine notic",eLiability waiver rout notice
GV001007,Attending physician not employed or paid under arrangement by the patient's,Attending phys not hospice
GW001007,Service not related to the hospice patient's terminal condition,Service unrelated to term co
GX001007,"Notice of liability issued, voluntary under payer policy",Voluntary liability notice
GY001007,"Item or service statutorily excluded, does not meet the definition of any",Statutorily excluded
GZ001007,Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary
H9001007,Court-ordered,Court-ordered
HA001007,Child/adolescent program,Child/adolescent program
HB001007,"Adult program, non geriatric",Adult program non-geriatric
HC001007,"Adult program, geriatric",Adult program geriatric
HD001007,Pregnant/parenting women's program,Pregnant/parenting program
HE001007,Mental health program,Mental health program
HF001007,Substance abuse program,Substance abuse program
HG001007,Opioid addiction treatment program,Opioid addiction tx program
HH001007,Integrated mental health/substance abuse program,Mental hlth/substance abs pr
HI001007,Integrated mental health and intellectual disability/developmental disabilities,Men hlth intel/dev disab pgm
HJ001007,Employee assistance program,Employee assistance program
HK001007,Specialized mental health programs for high-risk populations,Spec hgh rsk mntl hlth pop p
HL001007,Intern,Intern
HM001007,Less than bachelor degree level,Less than bachelor degree lv
HN001007,Bachelors degree level,Bachelors degree level
HO001007,Masters degree level,Masters degree level
HP001007,Doctoral level,Doctoral level
HQ001007,Group setting,Group setting
HR001007,Family/couple with client present,Family/couple w client prsnt
HS001007,Family/couple without client present,Family/couple w/o client prs
HT001007,Multi-disciplinary team,Multi-disciplinary team
HU001007,Funded by child welfare agency,Child welfare agency funded
HV001007,Funded state addictions agency,Funded state addiction agncy
HW001007,Funded by state mental health agency,State mntl hlth agncy funded
HX001007,Funded by county/local agency,County/local agency funded
HY001007,Funded by juvenile justice agency,Funded by juvenile justice
HZ001007,Funded by criminal justice agency,Criminal justice agncy fund
J1001007,Competitive acquisition program no-pay submission for a prescription number,Cap no-pay for prescript num
J2001007,"Competitive acquisition program, restocking of emergency drugs after emergency",Cap restock of emerg drugs
J3001007,"Competitive acquisition program (cap), drug not available through cap as",Cap drug unavail thru cap
J4001007,Dmepos item subject to dmepos competitive bidding program that is furnished by,Dmepos comp bid furn by hosp
J5001007,Off-the-shelf orthotic subject to dmepos competitive bidding program that is,Dmepos comp bid fur by pt/ot
JA001007,Administered intravenously,Administered intravenously
JB001007,Administered subcutaneously,Administered subcutaneously
JC001007,Skin substitute used as a graft,Skin substitute graft
JD001007,Skin substitute not used as a graft,Skin sub not used as a graft
JE001007,Administered via dialysate,Administered via dialysate
JF001007,Compounded drug,Compounded drug
JG001007,"Drug or biological acquired with 340b drug pricing program discount, reported",340b acquired drug
JK001007,One month supply or less of drug or biological,Drug supply 1 month or less
JL001007,Three month supply of drug or biological,Drug 3 month supply
JW001007,Drug amount discarded/not administered to any patient,Discarded drug not administe
JZ001007,Zero drug amount discarded/not administered to any patient,Zero drug wasted
K0001007,Lower extremity prosthesis functional level 0 - does not have the ability or,Lwr ext prost functnl lvl 0
K1001007,Lower extremity prosthesis functional level 1 - has the ability or potential to,Lwr ext prost functnl lvl 1
K2001007,Lower extremity prosthesis functional level 2 - has the ability or potential,Lwr ext prost functnl lvl 2
K3001007,Lower extremity prosthesis functional level 3 - has the ability or potential,Lwr ext prost functnl lvl 3
K4001007,Lower extremity prosthesis functional level 4 - has the ability or potential,Lwr ext prost functnl lvl 4
KA001007,Add on option/accessory for wheelchair,Wheelchair add-on option/acc
KB001007,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on clai",m>4 modifiers on claim
KC001007,Replacement of special power wheelchair interface,Repl special pwr wc intrface
KD001007,Drug or biological infused through dme,Drug/biological dme infused
KE001007,Bid under round one of the dmepos competitive bidding program for use with,Bid under round 1 dmepos cb
KF001007,Item designated by fda as class iii device,Fda class iii device
KG001007,Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bid prgm no 1
KH001007,"Dmepos item, initial claim, purchase or first month rental","Dmepos ini clm, pur/1 mo rnt"
KI001007,"Dmepos item, second or third month rental",Dmepos 2nd or 3rd mo rental
KJ001007,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months",Dmepos pen pmp or 4-15mo rnt
KK001007,Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bid prgm no 2
KL001007,Dmepos item delivered via mail,Dmepos mailorder comp bid
KM001007,Replacement of facial prosthesis including new impression/moulage,Rplc facial prosth new imp
KN001007,Replacement of facial prosthesis using previous master model,Rplc facial prosth old mod
KO001007,Single drug unit dose formulation,Single drug unit dose form
KP001007,First drug of a multiple drug unit dose formulation,First drug of multi drug u d
KQ001007,Second or subsequent drug of a multiple drug unit dose formulation,2nd/subsqnt drg multi drg ud
KR001007,"Rental item, billing for partial month",Rental item partial month
KS001007,Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose monitor supply
KT001007,Beneficiary resides in a competitive bidding area and travels outside that,Item from noncontract supply
KU001007,Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3
KV001007,Dmepos item subject to dmepos competitive bidding program that is furnished as,"Dmepos item, profession serv"
KW001007,Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bid prgm no 4
KX001007,Requirements specified in the medical policy have been met,Documentation on file
KY001007,Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bid prgm no 5
KZ001007,New coverage not implemented by managed care,New cov not implement by m+c
L1001007,Provider attestation that the hospital laboratory test(s) is not packaged under,Separately payable lab test
LC001007,Left circumflex coronary artery,Lft circum coronary artery
LD001007,Left anterior descending coronary artery,Left ant des coronary artery
LL001007,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied,Lease/rental (appld to pur)
LM001007,Left main coronary artery,Left main coronary artery
LR001007,Laboratory round trip,Laboratory round trip
LS001007,Fda-monitored intraocular lens implant,Fda-monitored iol implant
LT001007,Left side (used to identify procedures performed on the left side of the body),Left side
LU001007,Fractionated payment,Fractionated payment
M2001007,Medicare secondary payer (msp),Medicare secondary payer
MA001007,Ordering professional is not required to consult a clinical decision support,Emer med cond susp/confirm
MB001007,Ordering professional is not required to consult a clinical decision support,"Auc hardship, insuf internet"
MC001007,Ordering professional is not required to consult a clinical decision support,"Auc hardship, vendor issues"
MD001007,Ordering professional is not required to consult a clinical decision support,"Auc hardship, extreme circ"
ME001007,The order for this service adheres to appropriate use criteria in the clinical,Order adheres to auc
MF001007,The order for this service does not adhere to the appropriate use criteria in,Order does not adhere to auc
MG001007,The order for this service does not have applicable appropriate use criteria in,Auc not applicable to order
MH001007,Unknown if ordering professional consulted a clinical decision support,Auc consult not provided
MS001007,Six month maintenance and servicing fee for reasonable and necessary parts and,6-mo maint/svc fee parts/lbr
N1001007,Group 1 oxygen coverage criteria met,Group 1 oxygen cov crit met
N2001007,Group 2 oxygen coverage criteria met,Group 2 oxygen cov crit met
N3001007,Group 3 oxygen coverage criteria met,Group 3 oxygen cov crit met
NB001007,"Nebulizer system, any type, fda-cleared for use with specific drug",Drug specific nebulizer
NR001007,New when rented (use the 'nr' modifier when dme which was new at the time of,New when rented
NU001007,New equipment,New equipment
P1001007,A normal healthy patient,Normal healthy patient
P2001007,A patient with mild systemic disease,Patient w/mild syst disease
P3001007,A patient with severe systemic disease,Patient w/severe sys disease
P4001007,A patient with severe systemic disease that is a constant threat to life,Pt w/sev sys dis threat life
P5001007,A moribund patient who is not expected to survive without the operation,Pt not expect surv w/o oper
P6001007,A declared brain-dead patient whose organs are being removed for donor purposes,Brain-dead pt organs removed
PA001007,Surgical or other invasive procedure on wrong body part,"Surgery, wrong body part"
PB001007,Surgical or other invasive procedure on wrong patient,"Surgery, wrong patient"
PC001007,Wrong surgery or other invasive procedure on patient,Wrong surgery on patient
PD001007,Diagnostic or related non diagnostic item or service provided in a wholly owned,Inp admit w/in 3 days
PI001007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform,Pet tumor init tx strat
PL001007,Progressive addition lenses,Progressive addition lenses
PM001007,Post mortem,Post mortem
PN001007,"Non-excepted service provided at an off-campus, outpatient, provider-based",Non-excepted off-campus svc
PO001007,"Excepted service provided at an off-campus, outpatient, provider-based",Excepted off-campus service
PS001007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform,Pet tumor subsq tx strategy
PT001007,Colorectal cancer screening test; converted to diagnostic test or other,Clrctal screen to diagn
Q0001007,Investigational clinical service provided in a clinical research study that is,Invest clinical research
Q1001007,Routine clinical service provided in a clinical research study that is in an,Routine clinical research
Q2001007,Demonstration procedure/service,"Demo procedure, service"
Q3001007,Live kidney donor surgery and related services,Live donor surgery/services
Q4001007,Service for ordering/referring physician qualifies as a service exemption,Svc exempt - ordrg/rfrng md
Q5001007,Service furnished under a reciprocal billing arrangement by a substitute,Recip bill arr subs md or pt
Q6001007,Service furnished under a fee-for-time compensation arrangement by a substitute,Fee/time comp subst md or pt
Q7001007,One class a finding,One class a finding
Q8001007,Two class b findings,Two class b findings
Q9001007,One class b and two class c findings,1 class b & 2 class c fndngs
QA001007,Prescribed amounts of stationary oxygen for daytime use while at rest and,Avg sta day/night o2 < 1 lpm
QB001007,Prescribed amounts of stationary oxygen for daytime use while at rest and,Avg day/nite o2 > 4 lpm/port
QC001007,Single channel monitoring,Single channel monitoring
QD001007,Recording and storage in solid state memory by a digital recorder,Rcrdg/strg in sld st memory
QE001007,Prescribed amount of stationary oxygen while at rest is less than 1 liter per,Stationary o2 @ rest <1 lpm
QF001007,Prescribed amount of stationary oxygen while at rest exceeds 4 liters per,Station o2 @ rest >4lpm/port
QG001007,Prescribed amount of stationary oxygen while at rest is greater than 4 liters,Station o2 @ rest > 4 lpm
QH001007,Oxygen conserving device is being used with an oxygen delivery system,Oxygen cnsrvg dvc w del sys
QJ001007,"Services/items provided to a prisoner or patient in state or local custody,",Patient in state/locl custod
QK001007,"Medical direction of two, three, or four concurrent anesthesia procedures",Med dir 2-4 cncrnt anes proc
QL001007,Patient pronounced dead after ambulance called,Patient died after amb call
QM001007,Ambulance service provided under arrangement by a provider of services,Ambulance arr by provider
QN001007,Ambulance service furnished directly by a provider of services,Ambulance furn by provider
QP001007,Documentation is on file showing that the laboratory test(s) was ordered,Individually ordered lab tst
QQ001007,Ordering professional consulted a qualified clinical decision support mechanism,Qualified cdsm consulted
QR001007,Prescribed amounts of stationary oxygen for daytime use while at rest and,Avg sta day/night o2 > 4 lpm
QS001007,Monitored anesthesia care service,Monitored anesthesia care
QT001007,Recording and storage on tape by an analog tape recorder,Rcrdg/strg tape analog recdr
QW001007,Clia waived test,Clia waived test
QX001007,Crna service: with medical direction by a physician,Crna svc w/ md med direction
QY001007,Medical direction of one certified registered nurse anesthetist (crna) by an,Medically directed crna
QZ001007,Crna service: without medical direction by a physician,Crna svc w/o med dir by md
RA001007,"Replacement of a dme, orthotic or prosthetic item",Replacement of dme item
RB001007,"Replacement of a part of a dme, orthotic or prosthetic item furnished as part","Replacement part, dme item"
RC001007,Right coronary artery,Right coronary artery
RD001007,"Drug provided to beneficiary, but not administered ""incident-to""",Drug admin not incident-to
RE001007,Furnished in full compliance with fda-mandated risk evaluation and mitigation,Furnish full compliance rems
RI001007,Ramus intermedius coronary artery,Ramus intermedius cor artery
RR001007,Rental (use the 'rr' modifier when dme is to be rented),Rental (dme)
RT001007,Right side (used to identify procedures performed on the right side of the body,)Right side
SA001007,Nurse practitioner rendering service in collaboration with a physician,Nurse practitioner w physici
SB001007,Nurse midwife,Nurse midwife
SC001007,Medically necessary service or supply,Medically necessary serv/sup
SD001007,"Services provided by registered nurse with specialized, highly technical home",Serv by home infusion rn
SE001007,State and/or federally-funded programs/services,State/fed funded program/ser
SF001007,Second opinion ordered by a professional review organization (pro) per section,2nd opinion ordered by pro
SG001007,Ambulatory surgical center (asc) facility service,Asc facility service
SH001007,Second concurrently administered infusion therapy,2nd concurrent infusion ther
SJ001007,Third or more concurrently administered infusion therapy,3rd concurrent infusion ther
SK001007,Member of high risk population (use only with codes for immunization),High risk population
SL001007,State supplied vaccine,State supplied vaccine
SM001007,Second surgical opinion,Second opinion
SN001007,Third surgical opinion,Third opinion
SQ001007,Item ordered by home health,Item ordered by home health
SS001007,Home infusion services provided in the infusion suite of the iv therapy provide,rHit in infusion suite
ST001007,Related to trauma or injury,Related to trauma or injury
SU001007,Procedure performed in physician's office (to denote use of facility and,Performed in phys office
SV001007,Pharmaceuticals delivered to patient's home but not utilized,Drugs delivered not used
SW001007,Services provided by a certified diabetic educator,Serv by cert diab educator
SY001007,Persons who are in close contact with member of high-risk population (use only,Contact w/high-risk pop
SZ001007,Habilitative services,Habilitative services
T1001007,"Left foot, second digit","Left foot, second digit"
T2001007,"Left foot, third digit","Left foot, third digit"
T3001007,"Left foot, fourth digit","Left foot, fourth digit"
T4001007,"Left foot, fifth digit","Left foot, fifth digit"
T5001007,"Right foot, great toe","Right foot, great toe"
T6001007,"Right foot, second digit","Right foot, second digit"
T7001007,"Right foot, third digit","Right foot, third digit"
T8001007,"Right foot, fourth digit","Right foot, fourth digit"
T9001007,"Right foot, fifth digit","Right foot, fifth digit"
TA001007,"Left foot, great toe","Left foot, great toe"
TB001007,"Drug or biological acquired with 340b drug pricing program discount, reported",340b drug
TC001007,"Technical component; under certain circumstances, a charge may be made for the",Technical component
TD001007,Rn,Rn
TE001007,Lpn/lvn,Lpn/lvn
TF001007,Intermediate level of care,Intermediate level of care
TG001007,Complex/high tech level of care,Complex/high tech level care
TH001007,"Obstetrical treatment/services, prenatal or postpartum",Ob tx/srvcs prenatl/postpart
TJ001007,"Program group, child and/or adolescent",Child/adolescent program gp
TK001007,"Extra patient or passenger, non-ambulance",Extra patient or passenger
TL001007,Early intervention/individualized family service plan (ifsp),Early intervention ifsp
TM001007,Individualized education program (iep),Individualized ed prgrm(iep)
TN001007,Rural/outside providers' customary service area,Rural/out of service area
TP001007,"Medical transport, unloaded vehicle",Med transprt unloaded vehicl
TQ001007,Basic life support transport by a volunteer ambulance provider,Bls by volunteer amb providr
TR001007,School-based individualized education program (iep) services provided outside,School-based iep out of dist
TS001007,Follow-up service,Follow-up service
TT001007,Individualized service provided to more than one patient in same setting,Additional patient
TU001007,"Special payment rate, overtime",Overtime payment rate
TV001007,"Special payment rates, holidays/weekends",Holiday/weekend payment rate
TW001007,Back-up equipment,Back-up equipment
U1001007,"Medicaid level of care 1, as defined by each state",M/caid care lev 1 state def
U2001007,"Medicaid level of care 2, as defined by each state",M/caid care lev 2 state def
U3001007,"Medicaid level of care 3, as defined by each state",M/caid care lev 3 state def
U4001007,"Medicaid level of care 4, as defined by each state",M/caid care lev 4 state def
U5001007,"Medicaid level of care 5, as defined by each state",M/caid care lev 5 state def
U6001007,"Medicaid level of care 6, as defined by each state",M/caid care lev 6 state def
U7001007,"Medicaid level of care 7, as defined by each state",M/caid care lev 7 state def
U8001007,"Medicaid level of care 8, as defined by each state",M/caid care lev 8 state def
U9001007,"Medicaid level of care 9, as defined by each state",M/caid care lev 9 state def
UA001007,"Medicaid level of care 10, as defined by each state",M/caid care lev 10 state def
UB001007,"Medicaid level of care 11, as defined by each state",M/caid care lev 11 state def
UC001007,"Medicaid level of care 12, as defined by each state",M/caid care lev 12 state def
UD001007,"Medicaid level of care 13, as defined by each state",M/caid care lev 13 state def
UE001007,Used durable medical equipment,Used durable med equipment
UF001007,Services provided in the morning,"Services provided, morning"
UG001007,Services provided in the afternoon,"Services provided, afternoon"
UH001007,Services provided in the evening,"Services provided, evening"
UJ001007,Services provided at night,"Services provided, night"
UK001007,Services provided on behalf of the client to someone other than the client,Svc on behalf client-collat
UN001007,Two patients served,Two patients served
UP001007,Three patients served,Three patients served
UQ001007,Four patients served,Four patients served
UR001007,Five patients served,Five patients served
US001007,Six or more patients served,Six or more patients served
V1001007,Demonstration modifier 1,Demonstration modifier 1
V2001007,Demonstration modifier 2,Demonstration modifier 2
V3001007,Demonstration modifier 3,Demonstration modifier 3
V4001007,Demonstration modifier 4,Demonstration modifier 4
V5001007,Vascular catheter (alone or with any other vascular access),Vascular catheter
V6001007,Arteriovenous graft (or other vascular access not including a vascular catheter,)Arteriovenous graft
V7001007,Arteriovenous fistula only (in use with two needles),Arteriovenous fistula
V8001007,Infection present,Infection present
V9001007,No infection present,No infection present
VM001007,Medicare diabetes prevention program (mdpp) virtual make-up session,Mdpp virtual make-up session
VP001007,Aphakic patient,Aphakic patient
X1001007,"Continuous/broad services: for reporting services by clinicians, who provide",Continuous/broad services
X2001007,Continuous/focused services: for reporting services by clinicians whose,Continuous/focused services
X3001007,Episodic/broad services: for reporting services by clinicians who have broad,Episodic/broad services
X4001007,Episodic/focused services: for reporting services by clinicians who provide,Episodic/focused services
X5001007,Diagnostic services requested by another clinician: for reporting services by a,Svc req by another clinician
XE001007,"Separate encounter, a service that is distinct because it occurred during a",Separate encounter
XP001007,"Separate practitioner, a service that is distinct because it was performed by a",Separate practitioner
XS001007,"Separate structure, a service that is distinct because it was performed on a",Separate organ/structure
XU001007,"Unusual non-overlapping service, the use of a service that is distinct because",Unusual separate service
ZA001007,Novartis/sandoz,Novartis/sandoz
ZB001007,Pfizer/hospira,Pfizer/hospira
ZC001007,Merck/samsung bioepis,Merck/samsung bioepis
A0021001003,"Ambulance service, outside state per mile, transport (medicaid only)",Outside state ambulance serv0
A0080001003,"Non-emergency transportation, per mile - vehicle provided by volunteer",Noninterest escort in non er0
A0090001003,"Non-emergency transportation, per mile - vehicle provided by individual (family",Interest escort in non er   0
A0100001003,Non-emergency transportation; taxi,Nonemergency transport taxi 0
A0110001003,"Non-emergency transportation and bus, intra or inter state carrier",Nonemergency transport bus  0
A0120001003,"Non-emergency transportation: mini-bus, mountain area transports, or other",Noner transport mini-bus    0
A0130001003,Non-emergency transportation: wheelchair van,Noner transport wheelch van 0
A0140001003,Non-emergency transportation and air travel (private or commercial) intra or,Nonemergency transport air  0
A0160001003,Non-emergency transportation: per mile - case worker or social worker,Noner transport case worker 0
A0170001003,"Transportation ancillary: parking fees, tolls, other",Transport parking fees/tolls0
A0180001003,Non-emergency transportation: ancillary: lodging-recipient,Noner transport lodgng recip0
A0190001003,Non-emergency transportation: ancillary: meals-recipient,Noner transport meals recip 0
A0200001003,Non-emergency transportation: ancillary: lodging escort,Noner transport lodgng escrt0
A0210001003,Non-emergency transportation: ancillary: meals-escort,Noner transport meals escort0
A0225001003,"Ambulance service, neonatal transport, base rate, emergency transport, one way",Neonatal emergency transport0
A0380001003,Bls mileage (per mile),Basic life support mileage  0
A0382001003,Bls routine disposable supplies,Basic support routine suppls0
A0384001003,Bls specialized service disposable supplies; defibrillation (used by als,Bls defibrillation supplies 0
A0390001003,Als mileage (per mile),Advanced life support mileag0
A0392001003,Als specialized service disposable supplies; defibrillation (to be used only in,Als defibrillation supplies 0
A0394001003,Als specialized service disposable supplies; iv drug therapy,Als iv drug therapy supplies0
A0396001003,Als specialized service disposable supplies; esophageal intubation,Als esophageal intub suppls 0
A0398001003,Als routine disposable supplies,Als routine disposble suppls0
A0420001003,"Ambulance waiting time (als or bls), one half (1/2) hour increments",Ambulance waiting 1/2 hr    0
