icd10_code,parent_title,definition
B26,Mumps,
B260,Mumps,
B261,Mumps,
B262,Mumps,
B263,Mumps,
B268,Mumps,
B269,Mumps,
B27,Infectious mononucleosis,
B270,Infectious mononucleosis,
B271,Infectious mononucleosis,
B278,Infectious mononucleosis,
B279,Infectious mononucleosis,
B30,Viral conjunctivitis,
B300,Viral conjunctivitis,
B301,Viral conjunctivitis,
B302,Viral conjunctivitis,
B303,Viral conjunctivitis,
B308,Viral conjunctivitis,
B309,Viral conjunctivitis,
B33,"Other viral diseases, not elsewhere classified",
B330,"Other viral diseases, not elsewhere classified",
B331,"Other viral diseases, not elsewhere classified",
B332,"Other viral diseases, not elsewhere classified",
B333,"Other viral diseases, not elsewhere classified",
B334,"Other viral diseases, not elsewhere classified",
B338,"Other viral diseases, not elsewhere classified",
B34,Viral infection of unspecified site,
B340,Viral infection of unspecified site,
B341,Viral infection of unspecified site,
B342,Viral infection of unspecified site,
B343,Viral infection of unspecified site,
B344,Viral infection of unspecified site,
B348,Viral infection of unspecified site,
B349,Viral infection of unspecified site,
B35,Dermatophytosis,
B350,Dermatophytosis,
B351,Dermatophytosis,
B352,Dermatophytosis,
B353,Dermatophytosis,
B354,Dermatophytosis,
B355,Dermatophytosis,
B356,Dermatophytosis,
B358,Dermatophytosis,
B359,Dermatophytosis,
B36,Other superficial mycoses,
B360,Other superficial mycoses,
B361,Other superficial mycoses,
B362,Other superficial mycoses,
B363,Other superficial mycoses,
B368,Other superficial mycoses,
B369,Other superficial mycoses,
B37,Candidiasis,
B370,Candidiasis,
B371,Candidiasis,
B372,Candidiasis,
B373,Candidiasis,
B374,Candidiasis,
B375,Candidiasis,
B376,Candidiasis,
B377,Candidiasis,
B378,Candidiasis,
B379,Candidiasis,
B38,Coccidioidomycosis,
B380,Coccidioidomycosis,
B381,Coccidioidomycosis,
B382,Coccidioidomycosis,
B383,Coccidioidomycosis,
B384,Coccidioidomycosis,
B387,Coccidioidomycosis,
B388,Coccidioidomycosis,
B389,Coccidioidomycosis,
B39,Histoplasmosis,
B390,Histoplasmosis,
B391,Histoplasmosis,
B392,Histoplasmosis,
B393,Histoplasmosis,
B394,Histoplasmosis,
B395,Histoplasmosis,
B399,Histoplasmosis,
B40,Blastomycosis,
B400,Blastomycosis,
B401,Blastomycosis,
B402,Blastomycosis,
B403,Blastomycosis,
B407,Blastomycosis,
B408,Blastomycosis,
B409,Blastomycosis,
B41,Paracoccidioidomycosis,
B410,Paracoccidioidomycosis,
B417,Paracoccidioidomycosis,
B418,Paracoccidioidomycosis,
B419,Paracoccidioidomycosis,
B42,Sporotrichosis,
B420,Sporotrichosis,
B421,Sporotrichosis,
B427,Sporotrichosis,
B428,Sporotrichosis,
B429,Sporotrichosis,
B43,Chromomycosis and phaeomycotic abscess,
B430,Chromomycosis and phaeomycotic abscess,
B431,Chromomycosis and phaeomycotic abscess,
B432,Chromomycosis and phaeomycotic abscess,
B438,Chromomycosis and phaeomycotic abscess,
B439,Chromomycosis and phaeomycotic abscess,
B44,Aspergillosis,
B440,Aspergillosis,
B441,Aspergillosis,
B442,Aspergillosis,
B447,Aspergillosis,
B448,Aspergillosis,
B449,Aspergillosis,
B45,Cryptococcosis,
B450,Cryptococcosis,
B451,Cryptococcosis,
B452,Cryptococcosis,
B453,Cryptococcosis,
B457,Cryptococcosis,
B458,Cryptococcosis,
B459,Cryptococcosis,
B46,Zygomycosis,
B460,Zygomycosis,
B461,Zygomycosis,
B462,Zygomycosis,
B463,Zygomycosis,
B464,Zygomycosis,
B465,Zygomycosis,
B468,Zygomycosis,
B469,Zygomycosis,
B47,Mycetoma,
B470,Mycetoma,
B471,Mycetoma,
B479,Mycetoma,
B48,"Other mycoses, not elsewhere classified",
B480,"Other mycoses, not elsewhere classified",
B481,"Other mycoses, not elsewhere classified",
B482,"Other mycoses, not elsewhere classified",
B483,"Other mycoses, not elsewhere classified",
B484,"Other mycoses, not elsewhere classified",
B485,"Other mycoses, not elsewhere classified",
B487,"Other mycoses, not elsewhere classified",
B488,"Other mycoses, not elsewhere classified",
B49,Unspecified mycosis,
B50,Plasmodium falciparum malaria,
B500,Plasmodium falciparum malaria,
B508,Plasmodium falciparum malaria,
B509,Plasmodium falciparum malaria,
B51,Plasmodium vivax malaria,
B510,Plasmodium vivax malaria,
B518,Plasmodium vivax malaria,
B519,Plasmodium vivax malaria,
B52,Plasmodium malariae malaria,
B520,Plasmodium malariae malaria,
B528,Plasmodium malariae malaria,
B529,Plasmodium malariae malaria,
B53,Other parasitologically confirmed malaria,
B530,Other parasitologically confirmed malaria,
B531,Other parasitologically confirmed malaria,
B538,Other parasitologically confirmed malaria,
B54,Unspecified malaria,
B55,Leishmaniasis,
B550,Leishmaniasis,
B551,Leishmaniasis,
B552,Leishmaniasis,
B559,Leishmaniasis,
B56,African trypanosomiasis,
B560,African trypanosomiasis,
B561,African trypanosomiasis,
B569,African trypanosomiasis,
B57,Chagas disease,
B570,Chagas disease,
B571,Chagas disease,
B572,Chagas disease,
B573,Chagas disease,
B574,Chagas disease,
B575,Chagas disease,
B58,Toxoplasmosis,
B580,Toxoplasmosis,
B581,Toxoplasmosis,
B582,Toxoplasmosis,
B583,Toxoplasmosis,
B588,Toxoplasmosis,
B589,Toxoplasmosis,
B60,"Other protozoal diseases, not elsewhere classified",
B600,"Other protozoal diseases, not elsewhere classified",
B601,"Other protozoal diseases, not elsewhere classified",
B602,"Other protozoal diseases, not elsewhere classified",
B608,"Other protozoal diseases, not elsewhere classified",
B64,Unspecified protozoal disease,
B65,Schistosomiasis [bilharziasis],
B650,Schistosomiasis [bilharziasis],
B651,Schistosomiasis [bilharziasis],
B652,Schistosomiasis [bilharziasis],
B653,Schistosomiasis [bilharziasis],
B658,Schistosomiasis [bilharziasis],
B659,Schistosomiasis [bilharziasis],
B66,Other fluke infections,
B660,Other fluke infections,
B661,Other fluke infections,
B662,Other fluke infections,
B663,Other fluke infections,
B664,Other fluke infections,
B665,Other fluke infections,
B668,Other fluke infections,
B669,Other fluke infections,
B67,Echinococcosis,
B670,Echinococcosis,
B671,Echinococcosis,
B672,Echinococcosis,
B673,Echinococcosis,
B674,Echinococcosis,
B675,Echinococcosis,
B676,Echinococcosis,
B677,Echinococcosis,
B678,Echinococcosis,
B679,Echinococcosis,
B68,Taeniasis,
B680,Taeniasis,
B681,Taeniasis,
B689,Taeniasis,
B69,Cysticercosis,
B690,Cysticercosis,
B691,Cysticercosis,
B698,Cysticercosis,
B699,Cysticercosis,
B70,Diphyllobothriasis and sparganosis,
B700,Diphyllobothriasis and sparganosis,
B701,Diphyllobothriasis and sparganosis,
B71,Other cestode infections,
B710,Other cestode infections,
B711,Other cestode infections,
B718,Other cestode infections,
B719,Other cestode infections,
B72,Dracunculiasis,
B73,Onchocerciasis,
B74,Filariasis,
B740,Filariasis,
B741,Filariasis,
B742,Filariasis,
B743,Filariasis,
B744,Filariasis,
B748,Filariasis,
B749,Filariasis,
B75,Trichinellosis,
B76,Hookworm diseases,
B760,Hookworm diseases,
B761,Hookworm diseases,
B768,Hookworm diseases,
B769,Hookworm diseases,
B77,Ascariasis,
B770,Ascariasis,
B778,Ascariasis,
B779,Ascariasis,
B78,Strongyloidiasis,
B780,Strongyloidiasis,
B781,Strongyloidiasis,
B787,Strongyloidiasis,
B789,Strongyloidiasis,
B79,Trichuriasis,
B80,Enterobiasis,
B81,"Other intestinal helminthiases, not elsewhere classified",
B810,"Other intestinal helminthiases, not elsewhere classified",
B811,"Other intestinal helminthiases, not elsewhere classified",
B812,"Other intestinal helminthiases, not elsewhere classified",
